レトロな,レトロな,レトロ,,,,,,,,,
昭和,昭和,,,,,,,,,,
ノスタルジックな,ノスタルジックな,懐古,,,,,,,,,
野暮ったく,野暮ったく,,,,,,,,,,
高画質,高画質,最高画質,最高レベルの画質,満足な画質,素晴らしい画質,すばらしい画質,十分な画質,満足する画質,キレの良い画質,,
そこそこの画質,そこそこの画質,,,,,,,,,,
ノイズ,ノイズ,ノイズが少し目立つ,,,,,,,,,
粗い,粗い,粗さ,,,,,,,,,
ボケない,ボケない,,,,,,,,,,
便利,便利,,,,,,,,,,
不便,不便,,,,,,,,,,
好き,好き,好み,好感が持てる,,,,,,,,
嫌い,嫌い,好みではありません,,,,,,,,,
改善,改善,,,,,,,,,,
ファームアップ,ファームアップ,ファームアップに期待,ファームアップを望みます,,,,,,,,
要改善,要改善,,,,,,,,,,
お気に入り,お気に入り,気に入ってます,気にいった,,,,,,,,
オススメ,オススメ,おすすめ,お勧め,,,,,,,,
オススメはしません,オススメはしません,オススメもしません,,,,,,,,,
満足,満足,大満足,期待通り,,,,,,,,
予想以上,予想以上,期待以上,,,,,,,,,
魅力的,魅力的,魅力を感じ,,,,,,,,,
感動,感動,,,,,,,,,,
名機,名機,,,,,,,,,,
優秀,優秀,秀逸なカメラ,最高,,,,,,,,
快適,快適,,,,,,,,,,
素晴らしい,素晴らしい,素晴らしく,,,,,,,,,
コスパ,コスパ,,,,,,,,,,
至れり尽くせり,至れり尽くせり,,,,,,,,,,
不満,不満,後悔,良さがわからない,残念,がっかり,ガッカリ,,,,,
物足りない,物足りない,,,,,,,,,,
イライラ,イライラ,,,,,,,,,,
酷評,酷評,,,,,,,,,,
面倒,面倒,めんどくさい,煩わしい,,,,,,,,
安心,安心,安心感,,,,,,,,,
キレイ,キレイ,綺麗,美しさ,,,,,,,,
クリア,クリア,クリアー,,,,,,,,,
精細な,精細な,高精細,,,,,,,,,
高感度,高感度,高感度耐性,,,,,,,,,
楽しい,楽しい,楽しく,楽しみ,楽しさ,楽しめる,楽しくなる,,,,,
ワクワク,ワクワク,わくわく,,,,,,,,,
楽しくない,楽しくない,,,,,,,,,,
マルチファンクションバー,マルチファンクションバー,,,,,,,,,,
長持ち,長持ち,,,,,,,,,,
予備バッテリー,予備バッテリー,予備,予備のバッテリー,,,,,,,,
もう少し長持ち,もう少し長持ち,バッテリー持ちが良いとは言えません,,,,,,,,,
USB給電,USB給電,ＵＳＢ給電,USB充電,USBで充電,,,,,,,
充電中使えない,充電中使えない,,,,,,,,,,
単3電池,単3電池,単三電池,単3アルカリ,単三バッテリー,乾電池式,,,,,,
ワンアクション,ワンアクション,ワンタッチ,,,,,,,,,
握り直す,握り直す,,,,,,,,,,
誤動作,誤動作,誤作動,,,,,,,,,
誤操作,誤操作,,,,,,,,,,
高速操作,高速操作,,,,,,,,,,
爆速,爆速,俊敏,,,,,,,,,
タイムラグ,タイムラグ,,,,,,,,,,
愛着がわく,愛着がわく,愛着の湧く,愛着が湧いて,愛着が出て,愛着が持てる,,,,,,
いい色,いい色,好みの色,最高の発色,,,,,,,,
鮮やか,鮮やか,,,,,,,,,,
白く飛ぶ,白く飛ぶ,白く飛んで,,,,,,,,,
明るすぎる,明るすぎる,,,,,,,,,,
鮮やかすぎる,鮮やかすぎる,,,,,,,,,,
最新,最新,,,,,,,,,,
創造性,創造性,,,,,,,,,,
上質,上質,高質感,高い質感,良い質感,,,,,,,
高品質,高品質,,,,,,,,,,
重厚感,重厚感,,,,,,,,,,
aps-c,aps-c,,,,,,,,,,
万能,万能,万能なカメラ,,,,,,,,,
角ばって無い,角ばって無い,,,,,,,,,,
ゴツゴツ,ゴツゴツ,ごっつい,,,,,,,,,
窮屈,窮屈,,,,,,,,,,
ジャスピン,ジャスピン,,,,,,,,,,
バリアングル,バリアングル,,,,,,,,,,
チルト,チルト,,,,,,,,,,
剥がれ,剥がれ,ボディの剥がれ,ラバーが剥がれる,グリップが剥がれ,捲れてきたりする,,,,,,
大きめの液晶,大きめの液晶,,,,,,,,,,
無音撮影,無音撮影,サイレント撮影,,,,,,,,,
無音シャッター,無音シャッター,極小のシャッター音,,,,,,,,,
心地いい音,心地いい音,素晴らしいシャッター音,上品な音,,,,,,,,
上品,上品,,,,,,,,,,
レンズの拡充,レンズの拡充,レンズが拡張,,,,,,,,,
レンズの拡張に期待,レンズの拡張に期待,,,,,,,,,,
光軸線上,光軸線上,,,,,,,,,,
シャープ,シャープ,シャープ感,,,,,,,,,
素晴らしい解像度,素晴らしい解像度,素晴らしい解像感,,,,,,,,,
塗りつぶされてる,塗りつぶされてる,,,,,,,,,,
堅牢性,堅牢性,堅牢感,,,,,,,,,
質実剛健,質実剛健,頑丈,,,,,,,,,
防水,防水,防水性能,防滴,,,,,,,,
防塵,防塵,,,,,,,,,,
キャッシュバック,キャッシュバック,,,,,,,,,,
キャンペーン,キャンペーン,,,,,,,,,,
サブ機,サブ機,,,,,,,,,,
XQDカード,XQDカード,,,,,,,,,,
軽快に,軽快に,軽快,,,,,,,,,
統一感,統一感,統一,,,,,,,,,
透明感,透明感,,,,,,,,,,
コントロールダイヤル,コントロールダイヤル,,,,,,,,,,
ボタンでの操作,ボタンでの操作,,,,,,,,,,
タッチパネル操作,タッチパネル操作,,,,,,,,,,
構図が決められる,構図が決められる,,,,,,,,,,
ブラックアウト,ブラックアウト,,,,,,,,,,
タッチシャッター,タッチシャッター,,,,,,,,,,
シャッターショック,シャッターショック,,,,,,,,,,
フォーサーズ,フォーサーズ,マイクロフォーサーズ,,,,,,,,,
かゆいところに手が届く,かゆいところに手が届く,,,,,,,,,,
％表示,％表示,,,,,,,,,,
％表示でない,％表示でない,,,,,,,,,,
つるつる,つるつる,ツルツル,,,,,,,,,
アナログ,アナログ,,,,,,,,,,
ユーザーフレンドリー,ユーザーフレンドリー,,,,,,,,,,
